standard_no,conc,peak_area
1,0.5,35374
1,0.5,16473
1,0.5,15578
2,1,102631
2,1,65386
2,1,67536
3,5,900610
3,5,843564
3,5,860087
4,10,1966852
4,10,1971019
4,10,2028744
