"year","location","conc","conc_error","peak_area","conc_ugm3","conc_error_ugm3"
1750,"east",3.45668303742047,0.108548705185758,600313,20.1639843849528,0.633200780250256
1750,"east",3.49098369328885,0.108845558552333,607456,20.364071544185,0.634932424888609
1750,"east",3.45317758049986,0.108518486999784,599583,20.1435358862492,0.633024507498742
1950,"east",3.07521249252561,0.105394791475474,520873,17.9387395397327,0.614802950273598
1950,"east",3.14174414408048,0.105924839177954,534728,18.3268408404694,0.617894895204731
1950,"east",3.00349468552656,0.104833231333252,505938,17.5203856655716,0.611527182777301
2020,"east",4.7398579442076,0.12095861397573,867530,27.649171341211,0.705591914858426
2020,"east",4.78021391675664,0.121387912999688,875934,27.8845811810804,0.708096159164845
2020,"east",4.84408046065269,0.122071610830501,889234,28.257136020474,0.712084396511253
1750,"west",4.10295483769904,0.114480726162827,734897,23.9339032199111,0.667804235949827
1750,"west",4.19438003538601,0.11537444088502,753936,24.4672168730851,0.673017571829283
1750,"west",4.33218771032802,0.116745273039102,782634,25.2710949769134,0.681014092728098
1950,"west",3.64651553466095,0.11021784323996,639845,21.2713406188555,0.642937418899767
1950,"west",3.72134503492651,0.110893074768605,655428,21.7078460370713,0.646876269483528
1950,"west",3.39463644992568,0.108017147014562,587392,19.8020459578998,0.630100024251614
2020,"west",5.60566738763197,0.13060095915784,1047832,32.6997264278532,0.761838928420732
2020,"west",5.37319316785038,0.127927507382545,999420,31.3436268124606,0.746243793064848
2020,"west",10.2013934404882,0.19164773692353,2004877,59.5081284028479,1.11794513205393
